AssetID,UserID,Asset Name,Category,Description,Interaction type,User rating,Price
A1043,U4,9busZ6dB,Music,Innovative Song,Purchase,5,3481.67
A1044,U21,CeBYd6Dr,Artwork,Creative Song,View,4,4129.07
A1045,U29,0bfhsHfv,Artwork,Rare Art,Share,4,1802.95
A1046,U43,qGBQfIMC,Stock,Amazing Investment,View,1,4510.87
A1047,U47,HNPaK7ma,Artwork,Popular Collection,View,3,1290.4
A1048,U4,eqFYo0pL,Artwork,Creative Investment,View,1,3676.85
A1049,U48,Tbz6x7Sn,Artwork,Innovative Track,View,3,2335.3
A1050,U21,RbqrcJgK,Artwork,Creative Investment,Like,3,2504.49
A1051,U23,L1Whglm5,Music,Popular Track,View,3,2053.97
A1052,U28,lXAqK2c3,NFT,Innovative Track,Like,1,543.23
A1053,U18,1TmyIsSI,Stock,Amazing Song,Share,2,4654.69
A1054,U18,ljGtyy0r,Stock,Unique Collection,View,4,1034.45
A1055,U21,nOY1ANSr,Artwork,Innovative Track,Like,2,1133.08
A1056,U20,I1NSsqq9,Stock,Innovative Piece,View,3,2180.11
A1057,U18,YXx6dxpz,NFT,Innovative Piece,Share,3,4745.06
A1058,U45,KaKPdiOH,Stock,Unique Piece,Like,5,4210.04
A1059,U19,G84tKqVs,NFT,Innovative Track,Share,3,563.17
A1060,U35,NpHvyPIi,NFT,Rare Investment,Purchase,4,4288.01
A1061,U33,CKRsEEy3,Stock,Innovative Track,Like,4,4346.55
A1062,U45,7Iw7FVi4,Music,Creative Song,Like,3,2877.5
A1063,U26,O43qPjyZ,Artwork,Creative Collection,Share,2,2649.92
A1064,U39,KZbcN4BG,Artwork,Innovative Song,View,3,4327.88
A1065,U9,Jzzpd5WE,Artwork,Amazing Investment,Purchase,2,1613.12
A1066,U15,d2fiJ0wS,NFT,Rare Track,View,1,60.31
A1067,U13,mhGi6Bml,Artwork,Innovative Piece,Share,1,1893.06
A1068,U39,DXDYxUwv,NFT,Amazing Song,Like,3,4448.63
A1069,U38,vJGFoQD1,Artwork,Unique Track,Like,3,156.68
A1070,U24,MNuTmm1n,Stock,Unique Art,Share,1,3606.73
A1071,U42,yyBlX7e6,Artwork,Creative Collection,Share,5,1800.21
A1072,U21,2Jam3R6p,Artwork,Creative Track,View,3,1367.38
A1073,U39,Ic3tK7FA,Music,Amazing Song,Purchase,4,215.35
A1074,U19,AlPXRtuG,Stock,Rare Piece,Purchase,4,2176.11
A1075,U7,Q5r6fnd5,NFT,Popular Piece,Like,1,3865.26
A1076,U17,XQle0Hm6,Music,Rare Song,Like,4,570.57
A1077,U18,smBXpqR1,NFT,Popular Investment,Share,1,994.49
A1078,U24,WeEvyeAQ,Artwork,Popular Art,View,4,2333.26
A1079,U6,DlBWDvpy,Music,Innovative Track,Like,3,1356.29
A1080,U46,b02IGcuy,Artwork,Creative Collection,View,4,2113.78
A1081,U15,Ic2cpQB3,Artwork,Popular Song,View,3,2244.29
A1082,U29,1dI4Ff3N,Stock,Amazing Collection,View,3,4727.87
A1083,U50,tQ6QEcBS,NFT,Popular Investment,Purchase,1,4114.65
A1084,U33,SqLv3jMX,Stock,Unique Piece,Purchase,3,169.9
A1085,U3,cYWIB5zO,Stock,Unique Collection,Purchase,5,2557.58
A1086,U27,3zEesMMX,NFT,Popular Art,Purchase,3,2897.59
A1087,U26,knuO1MDO,Artwork,Innovative Collection,Purchase,5,4291.42
A1088,U22,4ClRnfCC,Music,Amazing Piece,Like,5,2588.45
A1089,U28,AgfZXGgt,Artwork,Amazing Art,View,5,2771.78
A1090,U46,BmM7TA2F,Stock,Creative Investment,Share,1,803.75
A1091,U26,0hPyM2j0,Music,Creative Piece,Purchase,1,2050.52
A1092,U30,l3KFLvJp,Music,Innovative Collection,Like,2,2544.45
A1093,U45,OCYwfVLR,Stock,Creative Art,Share,1,1166.21
A1094,U15,G0buAQhS,Stock,Unique Collection,Share,1,4030.49
A1095,U2,zqTLO0j6,Music,Innovative Art,Share,5,4830.1
A1096,U45,ERCQTmy0,NFT,Amazing Investment,Like,2,1733.38
A1097,U33,r851R40U,Music,Amazing Investment,Purchase,2,156.75
A1098,U24,OyPJvjBz,Stock,Innovative Track,Share,2,2686.14
A1099,U44,L5B0UnZ4,Stock,Unique Investment,View,4,3078.45
A1100,U10,nDh2uZNS,Artwork,Creative Song,Like,2,4320.25
A1101,U44,z1jeLirt,Stock,Creative Collection,Share,2,792.34
A1102,U24,8YuGxL9x,Stock,Creative Investment,Purchase,4,4808.45
A1103,U43,mcGuwW8l,NFT,Creative Art,Purchase,3,1864.47
A1104,U32,kNH94leo,Artwork,Unique Song,Like,4,993.45
A1105,U13,EogPEikZ,Artwork,Amazing Piece,View,5,4792.19
A1106,U28,MMad947Q,Music,Amazing Art,View,5,2514.99
A1107,U24,Sb8ggvLP,Artwork,Creative Art,View,3,2166.82
A1108,U49,mRpsnjm8,Stock,Creative Collection,Share,5,2240.5
A1109,U27,ZAglKwjx,Stock,Unique Song,Purchase,5,2526.97
A1110,U48,uBA6lGWS,Music,Popular Song,Share,4,3450.22
A1111,U23,Xrw3UedE,NFT,Rare Song,Purchase,4,350.8
A1112,U8,RwNweM0H,Artwork,Rare Investment,View,3,3471.85
A1113,U2,V7afyEvO,Stock,Innovative Investment,Purchase,4,2911.52
A1114,U46,ksl5QkJG,Stock,Amazing Track,Purchase,3,807.68
A1115,U37,exoaQnW5,Music,Creative Piece,Purchase,3,4414.34
A1116,U11,pMLaniUd,Music,Innovative Track,View,4,2259.01
A1117,U1,JzjIogVQ,Stock,Rare Song,View,3,355.14
A1118,U3,WpOKX78P,Artwork,Amazing Art,View,4,655.47
A1119,U14,PbS9FlEJ,Stock,Innovative Track,View,2,4832.28
A1120,U25,zzV3oTVI,Stock,Popular Track,Purchase,4,283.42
A1121,U5,tZ3VsNmg,Stock,Rare Investment,Like,5,4705.55
A1122,U43,kelfn03d,NFT,Unique Art,Like,4,458.56
A1123,U22,H1QVGdvY,Stock,Unique Collection,Like,1,465.88
A1124,U12,PJPEyaPe,NFT,Popular Collection,Purchase,2,3123.82
A1125,U50,IgD5L1C3,NFT,Creative Piece,Like,1,93.18
A1126,U15,FAyVADPy,Artwork,Amazing Art,Share,4,3764.82
A1127,U44,I2sXIDbc,Artwork,Unique Piece,Purchase,5,3794.86
A1128,U9,xZq6ActX,Stock,Unique Art,Share,3,398.07
A1129,U12,RUkPle2n,Stock,Rare Piece,Purchase,3,3541.68
A1130,U4,M4Urk7QC,NFT,Popular Piece,Purchase,5,2550.51
A1131,U27,VtcW8hiI,Stock,Innovative Art,View,2,1363.85
A1132,U42,IoZZBNac,Stock,Creative Collection,Like,3,181.57
A1133,U3,5BqatlLe,NFT,Popular Track,Share,5,1630.5
A1134,U3,uBSb4yX7,Artwork,Rare Collection,Share,3,1317.74
A1135,U34,Q9AcktVA,NFT,Popular Song,Like,2,4386.79
A1136,U2,hEBh8WGY,Music,Popular Collection,Like,2,3095.74
A1137,U13,GLGJcp9u,Stock,Amazing Song,View,2,2573.85
A1138,U28,33bPCGGU,Artwork,Innovative Song,Like,1,1276.1
A1139,U31,V5UCECFF,NFT,Unique Art,Purchase,5,3597.2
A1140,U31,FdFBUT6k,Music,Popular Art,Share,5,669.8
A1141,U18,u1Up6u7c,NFT,Rare Song,View,2,2965.87
A1142,U19,EilCbyXy,Stock,Creative Track,Share,4,441.53
A1143,U7,ZQhbfANX,NFT,Popular Piece,Like,1,1040.66
A1144,U16,3kMOVaJd,NFT,Creative Song,Share,2,4519.88
A1145,U6,3MAFkbmJ,NFT,Rare Song,Like,4,4562.35
A1146,U32,NV3BtoUZ,Artwork,Unique Investment,Like,5,2345.06
A1147,U11,IPFdrxpZ,Music,Creative Investment,Like,1,3222.37
A1148,U39,LlvsiWPy,Music,Creative Piece,View,4,1835.7
A1149,U5,S8Z2Ty1d,Stock,Unique Song,Purchase,3,3682.39
A1150,U24,wLDePkVu,Artwork,Popular Piece,View,5,2756.1
A1151,U13,UGb4eqKF,Stock,Unique Art,View,1,1539.58
A1152,U16,I67F65e8,Music,Popular Investment,Share,2,397.44
A1153,U6,rLabErUs,Artwork,Innovative Piece,Purchase,2,873.45
A1154,U31,1gEoG2tA,Stock,Creative Piece,Purchase,1,3579.29
A1155,U39,CBsW3voF,NFT,Rare Track,Purchase,1,4700.06
A1156,U24,0Qv8o0BV,NFT,Innovative Investment,Purchase,4,2691.03
A1157,U22,6QtLRu0Y,Artwork,Popular Collection,Purchase,5,3639.74
A1158,U17,ZP9OwHqB,Stock,Unique Piece,Purchase,3,2494.59
A1159,U24,szSIhhz9,Artwork,Innovative Piece,View,5,4182.15
A1160,U29,XoOCBLgi,Artwork,Popular Piece,Purchase,4,513.73
A1161,U36,RQai9My0,Music,Creative Piece,Like,3,4815.13
A1162,U11,RO9Fcvtl,Music,Innovative Investment,Share,1,4423.81
A1163,U42,9oQkOdfn,Music,Popular Investment,View,1,2990.46
A1164,U46,b5QWqQ9P,Artwork,Amazing Collection,Share,2,3601.49
A1165,U49,YNc5dNfa,Artwork,Popular Art,Share,2,4756.05
A1166,U7,r3iyVAhx,NFT,Rare Track,Like,3,792.2
A1167,U4,vsNwSV0c,Artwork,Popular Collection,Like,4,2884.95
A1168,U48,35i7jgpF,Stock,Unique Art,View,4,3697.38
A1169,U41,amDXPRtA,NFT,Amazing Investment,Purchase,2,4086.94
A1170,U17,W5eD3pMW,Artwork,Amazing Collection,View,1,1466.5
A1171,U10,zk7uEK89,Music,Popular Investment,Share,3,4919.24
A1172,U6,JJj22nPM,Artwork,Rare Art,Purchase,5,4008.23
A1173,U48,seSOMf8A,Stock,Creative Track,Share,1,101.84
A1174,U49,Wj97mJuU,Music,Amazing Song,Purchase,4,3227.09
A1175,U12,eh4Wrhov,Artwork,Rare Collection,Purchase,1,1271.34
A1176,U18,XKrS8ar1,Stock,Rare Collection,Share,1,1205.58
A1177,U40,DMt4hZlj,NFT,Popular Investment,Share,5,995.09
A1178,U23,V8uny1Bp,Artwork,Popular Collection,Share,1,4432.73
A1179,U31,3ujUapSB,Stock,Rare Collection,View,4,829.43
A1180,U7,5cBE5goY,Music,Creative Investment,Like,2,2086.29
A1181,U33,GeEBX0Xf,Artwork,Creative Collection,View,2,388.25
A1182,U19,y06Jxb2d,Stock,Popular Song,Share,2,2697.46
A1183,U31,Vzcagj7u,Stock,Popular Track,Like,1,1018.43
A1184,U32,CJ2Ty2Va,Music,Unique Collection,View,3,2784.1
A1185,U2,ELR7Uv1K,Stock,Innovative Art,View,5,4208.08
A1186,U50,AOTkuZHC,Music,Amazing Art,View,2,2699.16
A1187,U45,U56BPyf0,NFT,Popular Track,View,1,1991.14
A1188,U23,I6oJ9Rbg,NFT,Rare Song,Purchase,1,3906.85
A1189,U23,EZixHqqU,Stock,Popular Song,Like,4,4853.96
A1190,U41,8q1ecHEp,NFT,Amazing Piece,Like,5,429.54
A1191,U29,ROJlR69F,Stock,Popular Investment,View,3,106.1
A1192,U2,Jthnuykx,Stock,Innovative Art,View,4,2568.53
A1193,U1,I13ld1DB,Music,Creative Art,Like,5,4542.54
A1194,U29,lZmOrSl6,NFT,Rare Piece,Share,2,916.24
A1195,U23,kmXF7rlm,Music,Rare Track,Share,5,596.05
A1196,U46,0UAfeOKB,Stock,Unique Investment,View,4,354.01
A1197,U22,zF1h9IAD,Music,Rare Track,Share,3,3236.54
A1198,U35,OFjFIL5J,NFT,Unique Collection,Like,5,105.53
A1199,U31,O6KVhykp,Music,Popular Piece,Like,5,2204.37
